,cpi_0
1937-07-31,1.594490551020297e-07
1937-08-31,1.6045504283137997e-07
1937-09-30,1.594490551020297e-07
1937-10-31,1.6045504283137997e-07
1937-11-30,1.609580366960552e-07
1937-12-31,1.6146103056073038e-07
1938-01-31,1.6196402442540553e-07
1938-02-28,1.5592809804930346e-07
1938-03-31,1.5542510418462828e-07
1938-04-30,1.5542510418462828e-07
1938-05-31,1.5944905510202965e-07
1938-06-30,1.6045504283137992e-07
1938-07-31,1.629700121547558e-07
1938-08-31,1.6347300601943098e-07
1938-09-30,1.6347300601943098e-07
1938-10-31,1.6246701829008065e-07
1938-11-30,1.6347300601943098e-07
1938-12-31,1.6246701829008065e-07
1939-01-31,1.6699396307215725e-07
1939-02-28,1.6548498147813174e-07
1939-03-31,1.6397599988410618e-07
1939-04-30,1.710179139895586e-07
1939-05-31,1.7101791398955866e-07
1939-06-30,1.6900593853085798e-07
1939-07-31,1.685029446661828e-07
1939-08-31,1.679999508015076e-07
1939-09-30,1.700119262602083e-07
1939-10-31,1.7101791398955866e-07
1939-11-30,1.7252689558358416e-07
1939-12-31,1.7856282195968626e-07
1940-01-31,1.7604785263631038e-07
1940-02-29,1.7604785263631038e-07
1940-03-31,1.770538403656607e-07
1940-04-30,1.7604785263631038e-07
1940-05-31,1.740358771776097e-07
1940-06-30,1.7805982809501106e-07
1940-07-31,1.7805982809501106e-07
1940-08-31,1.7805982809501106e-07
1940-09-30,1.7755683423033585e-07
1940-10-31,1.7755683423033585e-07
1940-11-30,1.7805982809501106e-07
1940-12-31,1.790658158243614e-07
1941-01-31,1.790658158243614e-07
1941-02-28,1.7755683423033585e-07
1941-03-31,1.7755683423033585e-07
1941-04-30,1.7805982809501106e-07
1941-05-31,1.7805982809501106e-07
1941-06-30,1.790658158243614e-07
1941-07-31,1.7554485877163517e-07
1941-08-31,1.7604785263631038e-07
1941-09-30,1.770538403656607e-07
1941-10-31,1.770538403656607e-07
1941-11-30,1.7755683423033585e-07
1941-12-31,1.7856282195968626e-07
1942-01-31,1.7805982809501106e-07
1942-02-28,1.8308976674176277e-07
1942-03-31,1.8359276060643803e-07
1942-04-30,1.8359276060643803e-07
1942-05-31,1.8560473606513866e-07
1942-06-30,1.8459874833578838e-07
1942-07-31,1.8560473606513866e-07
1942-08-31,1.8258677287708762e-07
1942-09-30,1.8258677287708762e-07
1942-10-31,1.8308976674176282e-07
1942-11-30,1.8308976674176282e-07
1942-12-31,1.8459874833578838e-07
1943-01-31,1.881197053885145e-07
1943-02-28,1.9113766857656557e-07
1943-03-31,1.966706010879924e-07
1943-04-30,1.9817958268201794e-07
1943-05-31,1.9566461335864209e-07
1943-06-30,1.9314964403526615e-07
1943-07-31,1.9314964403526615e-07
1943-08-31,1.9314964403526615e-07
1943-09-30,2.001915581407186e-07
1943-10-31,2.0572449065214546e-07
1943-11-30,1.986825765466931e-07
1943-12-31,1.931496440352661e-07
1944-01-31,1.931496440352661e-07
1944-02-29,1.9164066244124064e-07
1944-03-31,1.946586256292917e-07
1944-04-30,1.961676072233172e-07
1944-05-31,2.027065274640945e-07
1944-06-30,2.0320952132876966e-07
1944-07-31,2.0320952132876966e-07
1944-08-31,2.0572449065214546e-07
1944-09-30,2.082394599755213e-07
1944-10-31,2.0974844156954682e-07
1944-11-30,2.0874245384019644e-07
1944-12-31,2.077364661108461e-07
1945-01-31,2.1125742316357238e-07
1945-02-28,2.188023311336999e-07
1945-03-31,2.2131730045707565e-07
1945-04-30,2.2081430659240053e-07
1945-05-31,2.223232881864261e-07
1945-06-30,2.263472391038275e-07
1945-07-31,2.318801716152544e-07
1945-08-31,2.449580120968089e-07
1945-09-30,2.3540112866798066e-07
1945-10-31,2.359041225326558e-07
1945-11-30,2.379160979913565e-07
1945-12-31,2.3540112866798066e-07
1946-01-31,2.404310673147324e-07
1946-02-28,2.424430427734331e-07
1946-03-31,2.454610059614841e-07
1946-04-30,2.439520243674586e-07
1946-05-31,2.499879507435606e-07
1946-06-30,2.5350890779628684e-07
1946-07-31,2.56526870984338e-07
1946-08-31,2.56526870984338e-07
1946-09-30,2.555208832549876e-07
1946-10-31,2.5602387711966285e-07
1946-11-30,2.570298648490132e-07
1946-12-31,2.665867482778415e-07
1947-01-31,2.706106991952428e-07
1947-02-28,2.781556071653704e-07
1947-03-31,2.796645887593959e-07
1947-04-30,2.912334476469249e-07
1947-05-31,2.932454231056255e-07
1947-06-30,2.952573985643263e-07
1947-07-31,2.967663801583518e-07
1947-08-31,3.012933249404284e-07
1947-09-30,2.942514108349759e-07
1947-10-31,2.942514108349759e-07
1947-11-30,2.942514108349759e-07
1947-12-31,2.947544046996511e-07
1948-01-31,2.967663801583518e-07
1948-02-29,2.932454231056255e-07
1948-03-31,2.932454231056255e-07
1948-04-30,2.912334476469249e-07
1948-05-31,2.912334476469249e-07
1948-06-30,2.8922147218822426e-07
1948-07-31,2.952573985643264e-07
1948-08-31,2.952573985643264e-07
1948-09-30,2.977723678877022e-07
1948-10-31,2.972693740230271e-07
1948-11-30,3.0129332494042845e-07
1948-12-31,3.022993126697789e-07
1949-01-31,3.138681715573078e-07
1949-02-28,3.178921224747092e-07
1949-03-31,3.194011040687348e-07
1949-04-30,3.1588014701600855e-07
1949-05-31,3.14371165421983e-07
1949-06-30,3.188981102040597e-07
1949-07-31,3.194011040687348e-07
1949-08-31,3.1537715315133335e-07
1949-09-30,2.9525739856432654e-07
1949-10-31,2.977723678877024e-07
1949-11-30,2.957603924290017e-07
1949-12-31,2.967663801583521e-07
1950-01-31,2.932454231056259e-07
1950-02-28,2.952573985643266e-07
1950-03-31,2.967663801583521e-07
1950-04-30,2.9978434334640305e-07
1950-05-31,2.932454231056258e-07
1950-06-30,2.9626338629367684e-07
1950-07-31,2.967663801583521e-07
1950-08-31,2.9475440469965144e-07
1950-09-30,2.927424292409508e-07
1950-10-31,2.9676638015835215e-07
1950-11-30,3.0330530039912937e-07
1950-12-31,3.0330530039912937e-07
1951-01-31,3.1235918996328255e-07
1951-02-28,3.1235918996328255e-07
1951-03-31,3.1135320223393214e-07
1951-04-30,3.375088831970411e-07
1951-05-31,3.380118770617164e-07
1951-06-30,3.405268463850922e-07
1951-07-31,3.405268463850922e-07
1951-08-31,3.450537911671688e-07
1951-09-30,3.546106745959971e-07
1951-10-31,3.5813163164872335e-07
1951-11-30,3.651735457541757e-07
1951-12-31,3.666825273482013e-07
1952-01-31,3.65676539618851e-07
1952-02-29,3.7422743531832885e-07
1952-03-31,3.797603678297557e-07
1952-04-30,3.8177234328845653e-07
1952-05-31,3.812693494237812e-07
1952-06-30,3.8479030647650753e-07
1952-07-31,3.9032323898793445e-07
1952-08-31,3.888142573939089e-07
1952-09-30,3.968621592287118e-07
1952-10-31,3.968621592287118e-07
1952-11-30,4.018920978754634e-07
1952-12-31,4.069220365222151e-07
1953-01-31,4.0641904265754e-07
1953-02-28,4.008861101461131e-07
1953-03-31,4.023950917401386e-07
1953-04-30,4.039040733341641e-07
1953-05-31,4.09437005845591e-07
1953-06-30,4.054130549281896e-07
1953-07-31,4.079280242515654e-07
1953-08-31,4.089340119809158e-07
1953-09-30,4.235208340564958e-07
1953-10-31,4.245268217858462e-07
1953-11-30,4.260358033798716e-07
1953-12-31,4.44646576372853e-07
1954-01-31,4.396166377261013e-07
1954-02-28,4.4062262545545166e-07
1954-03-31,4.421316070494771e-07
1954-04-30,4.506825027489551e-07
1954-05-31,4.56215435260382e-07
1954-06-30,4.728142327946626e-07
1954-07-31,4.652693248245351e-07
1954-08-31,4.597363923131082e-07
1954-09-30,4.76838183712064e-07
1954-10-31,4.813651284941406e-07
1954-11-30,4.833771039528412e-07
1954-12-31,4.803591407647902e-07
1955-01-31,4.879040487349177e-07
1955-02-28,4.874010548702426e-07
1955-03-31,4.904190180582937e-07
1955-04-30,4.909220119229688e-07
1955-05-31,4.934369812463447e-07
1955-06-30,4.9393997511102e-07
1955-07-31,5.070178155925743e-07
1955-08-31,5.170776928860778e-07
1955-09-30,5.050058401338737e-07
1955-10-31,5.135567358333515e-07
1955-11-30,5.175806867507531e-07
1955-12-31,5.306585272323074e-07
1956-01-31,5.336764904203584e-07
1956-02-29,5.311615210969827e-07
1956-03-31,5.236166131268551e-07
1956-04-30,5.18083680615428e-07
1956-05-31,5.397124167964605e-07
1956-06-30,5.336764904203583e-07
1956-07-31,5.361914597437342e-07
1956-08-31,5.311615210969826e-07
1956-09-30,5.301555333676323e-07
1956-10-31,5.517842695486648e-07
1956-11-30,5.532932511426903e-07
1956-12-31,5.623471407068435e-07
1957-01-31,5.721052216815416e-07
1957-02-28,5.779399505117738e-07
1957-03-31,5.719040241356718e-07
1957-04-30,5.688860609476208e-07
1957-05-31,5.749219873237229e-07
1957-06-30,6.317602940320174e-07
1957-07-31,6.42826159054871e-07
1957-08-31,6.347782572200684e-07
1957-09-30,6.403111897314953e-07
1957-10-31,6.42323165190196e-07
1957-11-30,6.649578891005787e-07
1957-12-31,6.664668706946042e-07
1958-01-31,6.770297418527829e-07
1958-02-28,6.77029741852783e-07
1958-03-31,6.875926130109614e-07
1958-04-30,7.082153614626437e-07
1958-05-31,7.087183553273187e-07
1958-06-30,7.09724343056669e-07
1958-07-31,7.222991896735484e-07
1958-08-31,7.192812264854974e-07
1958-09-30,7.439279258545809e-07
1958-10-31,7.524788215540589e-07
1958-11-30,7.781315086524926e-07
1958-12-31,7.967422816454742e-07
1959-01-31,8.304428705787107e-07
1959-02-28,8.777242938581769e-07
1959-03-31,9.129338643854392e-07
1959-04-30,9.12933864385439e-07
1959-05-31,9.582033122062044e-07
1959-06-30,1.0150416189144991e-06
1959-07-31,1.0427062814716337e-06
1959-08-31,1.080430821322272e-06
1959-09-30,1.0990415943152533e-06
1959-10-31,1.0970296188565524e-06
1959-11-30,1.1020595575033044e-06
1959-12-31,1.183544563580683e-06
1960-01-31,1.2162391647845692e-06
1960-02-29,1.2690535205754623e-06
1960-03-31,1.2428978396123532e-06
1960-04-30,1.2690535205754628e-06
1960-05-31,1.297724170861947e-06
1960-06-30,1.3535564898408914e-06
1960-07-31,1.3832331278567263e-06
1960-08-31,1.4823229191977358e-06
1960-09-30,1.5552570295756358e-06
1960-10-31,1.5909695939675732e-06
1960-11-30,1.5034486615140928e-06
1960-12-31,1.6131013240132808e-06
1961-01-31,1.6860354343911808e-06
1961-02-28,1.6794965141504036e-06
1961-03-31,1.6422749681644408e-06
1961-04-30,1.6236641951714592e-06
1961-05-31,1.7041432135194875e-06
1961-06-30,1.7111851276249396e-06
1961-07-31,1.7318078760766216e-06
1961-08-31,1.7408617656407752e-06
1961-09-30,1.760981520227782e-06
1961-10-31,1.7559515815810307e-06
1961-11-30,1.7730533729799865e-06
1961-12-31,1.7790892993560887e-06
1962-01-31,1.8248617410415293e-06
1962-02-28,1.8314006612823065e-06
1962-03-31,1.8344186244703576e-06
1962-04-30,1.835424612199708e-06
1962-05-31,1.846490477222562e-06
1962-06-30,1.870131188862295e-06
1962-07-31,1.917915606006436e-06
1962-08-31,1.935520391270068e-06
1962-09-30,1.9571491274511004e-06
1962-10-31,2.006945520053942e-06
1962-11-30,1.997388636625115e-06
1962-12-31,1.9782748697674576e-06
1963-01-31,1.962682059962528e-06
1963-02-28,1.917915606006437e-06
1963-03-31,2.030586231693676e-06
1963-04-30,2.13118500462871e-06
1963-05-31,2.127161053711308e-06
1963-06-30,2.229771802105044e-06
1963-07-31,2.32081369161125e-06
1963-08-31,2.369101102620067e-06
1963-09-30,2.464166943043675e-06
1963-10-31,2.616574084040252e-06
1963-11-30,2.6653644889137443e-06
1963-12-31,2.841412341550055e-06
1964-01-31,2.8489572495201824e-06
1964-02-29,2.92843028013886e-06
1964-03-31,3.0385859365027223e-06
1964-04-30,3.054178746307653e-06
1964-05-31,3.073795507029985e-06
1964-06-30,3.215639776868383e-06
1964-07-31,3.285555924058233e-06
1964-08-31,3.3977235558807966e-06
1964-09-30,3.50787921224466e-06
1964-10-31,3.562202549629578e-06
1964-11-30,3.658777371647212e-06
1964-12-31,3.847903064765076e-06
1965-01-31,3.975663506392571e-06
1965-02-28,4.113483825313568e-06
1965-03-31,4.300597542972734e-06
1965-04-30,4.401196315907768e-06
1965-05-31,4.499783113384101e-06
1965-06-30,4.817172241994136e-06
1965-07-31,4.968070401396689e-06
1965-08-31,5.283447554548022e-06
1965-09-30,5.730609100244251e-06
1965-10-31,5.966513222776909e-06
1965-11-30,6.4252436273606665e-06
1965-12-31,7.234057761758345e-06
1966-01-31,7.454872068350746e-06
1966-02-28,7.630919920987057e-06
1966-03-31,7.8265845343457e-06
1966-04-30,8.192261073964551e-06
1966-05-31,8.313985589215945e-06
1966-06-30,8.964859650105618e-06
1966-07-31,9.06998536782273e-06
1966-08-31,9.309913441272787e-06
1966-09-30,9.555877441098948e-06
1966-10-31,9.865721661738856e-06
1966-11-30,1.0066919207608924e-05
1966-12-31,1.080632018868143e-05
1967-01-31,1.1396834985810084e-05
1967-02-28,1.2670415451167625e-05
1967-03-31,1.3338391303456258e-05
1967-04-30,1.3667349290953825e-05
1967-05-31,1.3769960039347556e-05
1967-06-30,1.475331304478752e-05
1967-07-31,1.7097264454173833e-05
1967-08-31,1.819479706689506e-05
1967-09-30,1.9816952280472493e-05
1967-10-31,2.082143102822881e-05
1967-11-30,2.1624712230115056e-05
1967-12-31,2.5492232055602475e-05
1968-01-31,2.956497337787735e-05
1968-02-29,3.152363148692248e-05
1968-03-31,3.3039152001188776e-05
1968-04-30,3.424331931322114e-05
1968-05-31,3.675577366727363e-05
1968-06-30,4.173088598277577e-05
1968-07-31,4.197684998260193e-05
1968-08-31,4.127014360273331e-05
1968-09-30,4.0842598817759416e-05
1968-10-31,4.167706563925552e-05
1968-11-30,4.1617209369359176e-05
1968-12-31,4.239936482892908e-05
1969-01-31,4.290839461998035e-05
1969-02-28,4.336511304910541e-05
1969-03-31,4.429615469261916e-05
1969-04-30,4.5498310029192826e-05
1969-05-31,4.537809449553546e-05
1969-06-30,4.571660936646186e-05
1969-07-31,4.641174688744295e-05
1969-08-31,4.67854713288966e-05
1969-09-30,4.695598624902149e-05
1969-10-31,4.797806978204144e-05
1969-11-30,4.817574637085876e-05
1969-12-31,4.855701572028256e-05
1970-01-31,4.989447640645383e-05
1970-02-28,5.050812892135754e-05
1970-03-31,5.133655981647756e-05
1970-04-30,5.1984918908043856e-05
1970-05-31,5.288477493194774e-05
1970-06-30,5.330477480895151e-05
1970-07-31,5.3847002195071335e-05
1970-08-31,5.407133745871646e-05
1970-09-30,5.476999593675027e-05
1970-10-31,5.5249852083650416e-05
1970-11-30,5.6091863813116646e-05
1970-12-31,5.87184977744504e-05
1971-01-31,5.902834199509029e-05
1971-02-28,6.051317988361142e-05
1971-03-31,6.114242520832006e-05
1971-04-30,6.163032925705497e-05
1971-05-31,6.263681998026998e-05
1971-06-30,6.441590927962607e-05
1971-07-31,6.580769330318225e-05
1971-08-31,6.67447708730721e-05
1971-09-30,6.829902191491838e-05
1971-10-31,7.284608645158194e-05
1971-11-30,7.365137962892689e-05
1971-12-31,7.965410840996042e-05
1972-01-31,8.326208340127543e-05
1972-02-29,8.770452521408656e-05
1972-03-31,9.45432297982102e-05
1972-04-30,0.0001051760171035
1972-05-31,0.0001084998005613
1972-06-30,0.0001112697877741
1972-07-31,0.0001173866961624
1972-08-31,0.0001229266705879
1972-09-30,0.0001247751730406
1972-10-31,0.0001414413717527
1972-11-30,0.0001533673562842
1972-12-31,0.0001550921222462
1973-01-31,0.0001866479453404
1973-02-28,0.0001904807585893
1973-03-31,0.0001941878233719
1973-04-30,0.0001984599554861
1973-05-31,0.0002040914023639
1973-06-30,0.000211470539652
1973-07-31,0.0002438999061551
1973-08-31,0.000253220921677
1973-09-30,0.0002623477493755
1973-10-31,0.0002753583335414
1973-11-30,0.0002724455161908
1973-12-31,0.0002753583335414
1974-01-31,0.0003215750355039
1974-02-28,0.0003297309240855
1974-03-31,0.0003396345030775
1974-04-30,0.000348761330776
1974-05-31,0.0003580823462978
1974-06-30,0.0003714813061105
1974-07-31,0.0003994443526761
1974-08-31,0.0004149793785458
1974-09-30,0.0004462436181087
1974-10-31,0.000477702045495
1974-11-30,0.0005270257526314
1974-12-31,0.0005705238250668
1975-01-31,0.0005825634701158
1975-02-28,0.0006295569233718
1975-03-31,0.0006553839038803
1975-04-30,0.0006782980670382
1975-05-31,0.0007027657327831
1975-06-30,0.0007165530682425
1975-07-31,0.0007338357845226
1975-08-31,0.0007569441355038
1975-09-30,0.0008019957105261
1975-10-31,0.0008340367013825
1975-11-30,0.0008544264228366
1975-12-31,0.0009519087101693
1976-01-31,0.0009602587865743
1976-02-29,0.0009655018578053
1976-03-31,0.000982590386262
1976-04-30,0.001002397544246
1976-05-31,0.0010253117074039
1976-06-30,0.0010375455402763
1976-07-31,0.0011175509235056
1976-08-31,0.0011808561539248
1976-09-30,0.0012342578053521
1976-10-31,0.0012740663091434
1976-11-30,0.0012901838984832
1976-12-31,0.0013323226561549
1977-01-31,0.0013956278865742
1977-02-28,0.0014847600975019
1977-03-31,0.0015325303020514
1977-04-30,0.0015869028925956
1977-05-31,0.001646130178724
1977-06-30,0.0017195331759586
1977-07-31,0.0018071118842994
1977-08-31,0.0018665333582512
1977-09-30,0.0019678994020513
1977-10-31,0.0020354767645848
1977-11-30,0.002064799125914
1977-12-31,0.0020954808020067
1978-01-31,0.002120142655575
1978-02-28,0.0021778164391164
1978-03-31,0.0022364611617748
1978-04-30,0.0023539447949148
1978-05-31,0.002418803527921
1978-06-30,0.0024885169565116
1978-07-31,0.0025720177205615
