observation_date,GDPDEF
1947-01-01,10.610577243592797
1947-04-01,10.76105486718921
1947-07-01,10.942008971514015
1947-10-01,11.211535347955696
1948-01-01,11.300107620072572
1948-04-01,11.40201335250812
1948-07-01,11.612491547538548
1948-10-01,11.647729978380749
1949-01-01,11.585824626901209
1949-04-01,11.46963304412423
1949-07-01,11.417251592872312
1949-10-01,11.418203982895076
1950-01-01,11.400108572462596
1950-04-01,11.43915656339584
1950-07-01,11.687730359336756
1950-10-01,11.906780064572043
1951-01-01,12.33630796483776
1951-04-01,12.418213506795302
1951-07-01,12.4258326269774
1951-10-01,12.567738740368956
1952-01-01,12.562024400232383
1952-04-01,12.577262640596576
1952-07-01,12.71821636396537
1952-10-01,12.752502404784808
1953-01-01,12.755359574853095
1953-04-01,12.78107410546767
1953-07-01,12.83440794674235
1953-10-01,12.858217697311405
1954-01-01,12.899170468290174
1954-04-01,12.910599148563321
1954-07-01,12.927742168973042
1954-10-01,12.962980599815236
1955-01-01,13.023933561272012
1955-04-01,13.077267402546692
1955-07-01,13.168696844731857
1955-10-01,13.299174277850268
1956-01-01,13.43250888103696
1956-04-01,13.511557252926218
1956-07-01,13.681082676977876
1956-10-01,13.73632129829808
1957-01-01,13.924894522804982
1957-04-01,14.022038305126717
1957-07-01,14.105848627129786
1957-10-01,14.115372527357406
1958-01-01,14.268707321022106
1958-04-01,14.30966009200088
1958-07-01,14.397279974094992
1958-10-01,14.465852055733864
1959-01-01,14.49918570653054
1959-04-01,14.52204306707683
1959-07-01,14.578234078419792
1959-10-01,14.635377479785525
1960-01-01,14.693473271174012
1960-04-01,14.730616482061734
1960-07-01,14.781093153268127
1960-10-01,14.824903094315186
1961-01-01,14.857284355089096
1961-04-01,14.891570395908532
1961-07-01,14.929665996819018
1961-10-01,14.976333107934362
1962-01-01,15.05347669977809
1962-04-01,15.07823884036991
1962-07-01,15.10966771112106
1962-10-01,15.14109658187221
1963-01-01,15.206811493442796
1963-04-01,15.233478414080134
1963-07-01,15.253478604558138
1963-10-01,15.377289307517216
1964-01-01,15.425861198678078
1964-04-01,15.461099629520284
1964-07-01,15.523004980999822
1964-10-01,15.593481842684218
1965-01-01,15.67157782455071
1965-04-01,15.74395946628063
1965-07-01,15.804912427737406
1965-10-01,15.913484890332288
1966-01-01,16.015390622767836
1966-04-01,16.14682044590901
1966-07-01,16.303012409641994
1966-10-01,16.43920418289698
1967-01-01,16.507776264535853
1967-04-01,16.59158658653892
1967-07-01,16.750635720340195
1967-10-01,16.93730416480157
1968-01-01,17.12492499928571
1968-04-01,17.30587910361051
1968-07-01,17.47540452766217
1968-10-01,17.72207354355756
1969-01-01,17.904932427927886
1969-04-01,18.13255364336804
1969-07-01,18.38779416946828
1969-10-01,18.62493928513605
1970-01-01,18.887798931418395
1970-04-01,19.150658577700742
1970-07-01,19.307802931456493
1970-10-01,19.56304345755673
1971-01-01,19.86018914465852
1971-04-01,20.121144010895343
1971-07-01,20.3259078657892
1971-10-01,20.495433289840857
1972-01-01,20.80781721730683
1972-04-01,20.937342260402485
1972-07-01,21.13734416518253
1972-10-01,21.406870541624208
1973-01-01,21.6535395575196
1973-04-01,21.98687606548634
1973-07-01,22.41449918570653
1973-10-01,22.86117010638197
1974-01-01,23.29260278669321
1974-04-01,23.843084219849715
1974-07-01,24.542138496557108
1974-10-01,25.2640501338108
1975-01-01,25.83834131753636
1975-04-01,26.222154496709493
1975-07-01,26.68501604777188
1975-10-01,27.131686968447323
1976-01-01,27.418356365298717
1976-04-01,27.694549471899734
1976-07-01,28.05264812045829
1976-10-01,28.55551005247669
1977-01-01,29.014562043448034
1977-04-01,29.424089753235744
1977-07-01,29.782188401794308
1977-10-01,30.4260040571815
1978-01-01,30.86791302774313
1978-04-01,31.458394841855643
1978-07-01,31.992685644625183
1978-10-01,32.64697759026277
1979-01-01,33.2422213544891
1979-04-01,34.05651482395071
1979-07-01,34.80128382175069
1979-10-01,35.44700425718341
1980-01-01,36.19177325498338
1980-04-01,37.05273383556034
1980-07-01,37.88036076534063
1980-10-01,38.86703682892219
1981-01-01,39.89085610339146
1981-04-01,40.68133982228403
1981-07-01,41.447061400584765
1981-10-01,42.163258697701885
1982-01-01,42.74326422156402
1982-04-01,43.298507604834334
1982-07-01,43.9127991695159
1982-10-01,44.3680416003962
1983-01-01,44.70328288840847
1983-04-01,45.03471461632969
1983-07-01,45.51376679777904
1983-10-01,45.85853198601892
1984-01-01,46.323298317126834
1984-04-01,46.71949256659588
1984-07-01,47.13473461652016
1984-10-01,47.48711892494214
1985-01-01,47.95664720616387
1985-04-01,48.2652215735388
1985-07-01,48.55665292050401
1985-10-01,48.82808407699121
1986-01-01,49.07094353279555
1986-04-01,49.25665958723417
1986-07-01,49.45856627205973
1986-10-01,49.728092648501416
1987-01-01,50.046190916103974
1987-04-01,50.39286088438938
1987-07-01,50.77476928351699
1987-10-01,51.179535043190896
1988-01-01,51.58049124277374
1988-04-01,52.082400784769376
1988-07-01,52.705263859655815
1988-10-01,53.160506290536105
1989-01-01,53.71479728378365
1989-04-01,54.28718368746369
1989-07-01,54.68337793693274
1989-10-01,55.07290545624244
1990-01-01,55.66719683044601
1990-04-01,56.2910122953552
1990-07-01,56.77292164687283
1990-10-01,57.19578281697921
1991-01-01,57.755788150363344
1991-04-01,58.17960171049248
1991-07-01,58.63484414137277
1991-10-01,58.98246649968095
1992-01-01,59.20151620491624
1992-04-01,59.55771007342927
1992-07-01,59.84914142039448
1992-10-01,60.26057391022772
1993-01-01,60.59867236830827
1993-04-01,60.95962818693512
1993-07-01,61.32153639558472
1993-10-01,61.65582529357423
1994-01-01,61.95106620063049
1994-04-01,62.25011666777779
1994-07-01,62.60726292631358
1994-10-01,62.94631377441691
1995-01-01,63.28822179258851
1995-04-01,63.59203420984962
1995-07-01,63.90537052733837
1995-10-01,64.21299250469052
1996-01-01,64.52156687206545
1996-04-01,64.78918846846162
1996-07-01,65.00157144353757
1996-10-01,65.34824141182297
1997-01-01,65.73872132115545
1997-04-01,65.86919875427387
1997-07-01,66.15682054114801
1997-10-01,66.37682263640605
1998-01-01,66.47110924865952
1998-04-01,66.62825360241527
1998-07-01,66.91016104915285
1998-10-01,67.09873427365976
1999-01-01,67.31683158887229
1999-04-01,67.57111972494975
1999-07-01,67.81016962066306
1999-10-01,68.1863636796541
2000-01-01,68.63970133048886
2000-04-01,69.06732445070905
2000-07-01,69.4711378203602
2000-10-01,69.84542709930571
2001-01-01,70.30733626034534
2001-04-01,70.73019743045172
2001-07-01,71.00829531709827
2001-10-01,71.2311545824246
2002-01-01,71.4549662377737
2002-04-01,71.70449242373738
2002-07-01,72.04830522195451
2002-10-01,72.46640444194706
2003-01-01,72.82069353041459
2003-04-01,73.07688644653759
2003-07-01,73.49498566653016
2003-10-01,73.94260897722835
2004-01-01,74.47023304983857
2004-04-01,75.07119115420147
2004-07-01,75.54738616558254
2004-10-01,76.13310602958123
2005-01-01,76.74168325412623
2005-04-01,77.29406946732826
2005-07-01,77.99883808417223
2005-10-01,78.63979656949114
2006-01-01,79.19694473280698
2006-04-01,79.88837988933228
2006-07-01,80.44648044267089
2006-10-01,80.73410222954504
2007-01-01,81.50172858789131
2007-04-01,82.06840065143479
2007-07-01,82.51697635215574
2007-10-01,82.85126525014523
2008-01-01,83.15793483747464
2008-04-01,83.56079581710303
2008-07-01,84.19032562214879
2008-10-01,84.39413708701989
2009-01-01,84.32746978542653
2009-04-01,84.18746845208051
2009-07-01,84.28746940447053
2009-10-01,84.55413861084392
2010-01-01,84.79699806664826
2010-04-01,85.21128772654978
2010-07-01,85.47033781274106
2010-10-01,85.96653301460015
2011-01-01,86.40653720511624
2011-04-01,86.9779712187735
2011-07-01,87.50178573129268
2011-10-01,87.60559624377376
2012-01-01,88.1198868560653
2012-04-01,88.48369984476042
2012-07-01,88.96941875636911
2012-10-01,89.41513728702179
2013-01-01,89.77037876551205
2013-04-01,89.96371394013276
2013-07-01,90.40467052067164
2013-10-01,90.88277031209822
2014-01-01,91.22753550033808
2014-04-01,91.74373089267516
2014-07-01,92.12087734168897
2014-10-01,92.21230678387414
2015-01-01,92.16183011266776
2015-04-01,92.69135896532347
2015-07-01,92.9370755911961
2015-10-01,92.93517081115058
2016-01-01,92.8542176592158
2016-04-01,93.48565224430708
2016-07-01,93.72470214002038
2016-10-01,94.17803979085517
2017-01-01,94.65804436232726
2017-04-01,94.9056657682454
2017-07-01,95.39328945989963
2017-10-01,95.97996171392109
2018-01-01,96.5904437185116
2018-04-01,97.27330736483204
2018-07-01,97.69331136487014
2018-10-01,98.114267754931
2019-01-01,98.4085562719645
2019-04-01,98.91713254411948
2019-07-01,99.23142125163096
2019-10-01,99.53999561900592
2020-01-01,100.0
2020-04-01,99.63142506119104
2020-07-01,100.5028619320184
2020-10-01,101.18572557833885
2021-01-01,102.46764254897668
2021-04-01,104.05432432689837
2021-07-01,105.61719635425099
2021-10-01,107.45435670815912
2022-01-01,109.63818703035268
2022-04-01,112.12582976980734
2022-07-01,113.38869893998992
2022-10-01,114.43632796502825
2023-01-01,115.47824264992998
2023-04-01,116.00491433251744
2023-07-01,116.92301831446017
2023-10-01,117.37349879522662
2024-01-01,118.2516023962133
2024-04-01,118.99446661396776
2024-07-01,119.55542433737465
